observation_date,SEADTLITRZSWLD
1975-01-01,65.4172973632812
1976-01-01,65.5664520263672
1977-01-01,65.8827667236328
1978-01-01,66.5021820068359
1979-01-01,67.1494598388672
1980-01-01,67.7548828125000
1981-01-01,68.3478927612305
1982-01-01,68.9315032958984
1983-01-01,69.4910125732422
1984-01-01,70.1493606567383
1985-01-01,70.7287216186523
1986-01-01,71.2704010009766
1987-01-01,71.9398269653320
1988-01-01,73.5520706176758
1989-01-01,74.0718231201172
1990-01-01,74.6307220458984
1991-01-01,75.0599136352539
1992-01-01,75.5146102905273
1993-01-01,75.9708633422852
1994-01-01,76.4201431274414
1995-01-01,76.8695526123047
1996-01-01,77.2984008789062
1997-01-01,79.3012390136719
1998-01-01,80.5209884643555
1999-01-01,80.9029693603516
2000-01-01,81.1163406372070
2001-01-01,81.3719024658203
2002-01-01,81.7370910644531
2003-01-01,82.2192687988281
2004-01-01,82.5573577880859
2005-01-01,82.5715713500977
2006-01-01,82.5349197387695
2007-01-01,83.1199722290039
2008-01-01,83.4791564941406
2009-01-01,83.8036117553711
2010-01-01,84.3671798706055
2011-01-01,84.7115097045898
2012-01-01,84.9124832153320
2013-01-01,85.2093811035156
2014-01-01,85.5576324462891
2015-01-01,85.9566497802734
2016-01-01,86.2807464599609
2017-01-01,86.4681015014648
2018-01-01,86.7647476196289
2019-01-01,86.7869186401367
2020-01-01,86.9843063354492
2021-01-01,87.1662521362305
2022-01-01,87.3925170898438
2023-01-01,87.5773925781250
2024-01-01,87.7406997680664
