Country;Country code;Year;Product;Product Name;Political Stability and Absence of violence - [GOV_POCO_08];Score/Index;
Angola;AGO;2020;;;-0.520679;55.3971;
Burundi;BDI;2020;;;-1.41131;30.7037;
Bénin;BEN;2020;;;-0.439753;57.6409;
Burkina Faso;BFA;2020;;;-1.5516;26.8143;
Brésil;BRA;2020;;;-0.421698;58.1415;
Botswana;BWA;2020;;;1.08805;100.0;
République Centrafricaine;CAF;2020;;;-2.17849;9.43341;
Chine;CHN;2020;;;-0.291068;61.7632;
Côte d'Ivoire;CIV;2020;;;-0.976413;42.7617;
Cameroun;CMR;2020;;;-1.52716;27.4918;
Congo, Rép. Dém.;COD;2020;;;-1.70818;22.4729
Congo, Rép.;COG;2020;;;-0.895873;44.9947
Comores;COM;2020;;;-0.291794;61.7431;
Cap-Vert;CPV;2020;;;0.880794;94.2538;
Algérie;DZA;2020;;;-0.860165;45.9847;
Egypte;EGY;2020;;;-1.20736;36.3585;
Ethiopie;ETH;2020;;;-1.73846;21.6335;
Gabon;GAB;2020;;;-0.0771416;67.6945;
Ghana;GHA;2020;;;0.125866;73.323;
Guinée;GIN;2020;;;-0.637065;52.1703;
Gambie;GMB;2020;;;0.245341;76.6355;
Guinée-Bissau;GNB;2020;;;-0.598215;53.2474;
Guinée Equatoriale;GNQ;2020;;;-0.192241;64.5033;
Inde;IND;2020;;;-0.861982;45.9343;
Kenya;KEN;2020;;;-1.00364;42.0067;
Liberia;LBR;2020;;;-0.369654;59.5844;
Lesotho;LSO;2020;;;-0.334338;60.5636;
Maroc;MAR;2020;;;-0.326688;60.7757;
Madagascar;MDG;2020;;;-0.455484;57.2047;
Mali;MLI;2020;;;-2.14744;10.2941;
Mozambique;MOZ;2020;;;-1.16108;37.6417;
Mauritanie;MRT;2020;;;-0.75134;49.0019;
Maurice;MUS;2020;;;0.889368;94.4915;
Malawi;MWI;2020;;;-0.237185;63.2572;
Namibie;NAM;2020;;;0.646453;87.7565;
Niger;NER;2020;;;-1.74285;21.5119;
Nigeria;NGA;2020;;;-1.85935;18.2817;
Rwanda;RWA;2020;;;0.0325207;70.7349;
Soudan;SDN;2020;;;-1.76316;20.9488;
Sénégal;SEN;2020;;;-0.0207329;69.2584;
Sierra Leone;SLE;2020;;;-0.243662;63.0776;
São Tomé-et-Principe;STP;2020;;;0.481793;83.1913;
Swaziland;SWZ;2020;;;-0.118748;66.5409;
Seychelles;SYC;2020;;;0.716662;89.7031;
Tchad;TCD;2020;;;-1.26446;34.7754;
Togo;TGO;2020;;;-0.924991;44.1874;
Tunisie;TUN;2020;;;-0.633952;52.2566;
Tanzanie;TZA;2020;;;-0.409508;58.4794;
Ouganda;UGA;2020;;;-0.780449;48.1949;
Afrique du Sud;ZAF;2020;;;-0.236858;63.2662;
Zambie;ZMB;2020;;;-0.128189;66.2792;
Zimbabwé;ZWE;2020;;;-1.08021;39.8839;
