Country;Country code;Year;Product;Product Name;Voice and Accountability - [GOV_POCO_09];
;;;;;Raw value;Score/Index
Angola;AGO;2020;;;-0.810628;42.2864
Burundi;BDI;2020;;;-1.53803;17.9947
Benin;BEN;2020;;;-0.0771749;66.7801
Burkina Faso;BFA;2020;;;-0.171152;63.6417
Brazil;BRA;2020;;;0.26105;78.0751
Botswana;BWA;2020;;;0.494441;85.8692
République Centrafricaine;CAF;2020;;;-1.27313;26.8412
China;CHN;2020;;;-1.64847;14.3067
Cote d'Ivoire;CIV;2020;;;-0.483163;53.2221
Cameroun;CMR;2020;;;-1.21459;28.7962
Congo, Rép. Dém.;COD;2020;;;-1.28187;26.5493
Congo, Rép.;COG;2020;;;-1.29034;26.2662
Comoros;COM;2020;;;-0.763882;43.8475
Cape Verde;CPV;2020;;;0.917582;100.0
Algeria;DZA;2020;;;-1.10214;32.5513
Egypt;EGY;2020;;;-1.48873;19.6411
Ethiopia;ETH;2020;;;-1.0173;35.3846
Gabon;GAB;2020;;;-0.993986;36.1631
Ghana;GHA;2020;;;0.58317;88.8323
Guinea;GIN;2020;;;-0.922338;38.5558
Gambia;GMB;2020;;;-0.200993;62.6452
Guinea-Bissau;GNB;2020;;;-0.471064;53.6261
Guinée Equatoriale;GNQ;2020;;;-1.83182;8.18362
India;IND;2020;;;0.149891;74.3629
Kenya;KEN;2020;;;-0.339955;58.0045
Liberia;LBR;2020;;;-0.0758209;66.8253
Lesotho;LSO;2020;;;0.0023245;69.4349
Morocco;MAR;2020;;;-0.608633;49.032
Madagascar;MDG;2020;;;-0.275043;60.1722
Mali;MLI;2020;;;-0.730584;44.9594
Mozambique;MOZ;2020;;;-0.601349;49.2752
Mauritania;MRT;2020;;;-0.840465;41.29
Mauritius;MUS;2020;;;0.744467;94.2188
Malawi;MWI;2020;;;-0.034748;68.1969
Namibia;NAM;2020;;;0.563313;88.1692
Niger;NER;2020;;;-0.516928;52.0945
Nigeria;NGA;2020;;;-0.585182;49.8151
Rwanda;RWA;2020;;;-1.10448;32.4731
Sudan;SDN;2020;;;-1.43299;21.5025
Senegal;SEN;2020;;;0.244615;77.5262
Sierra Leone;SLE;2020;;;-0.0909128;66.3213
São Tomé-et-Principe;STP;2020;;;0.349032;81.0133
Swaziland;SWZ;2020;;;-1.3276;25.0221
Seychelles;SYC;2020;;;0.445034;84.2192
Tchad;TCD;2020;;;-1.41971;21.9459
Togo;TGO;2020;;;-0.746729;44.4203
Tunisia;TUN;2020;;;0.273075;78.4766
Tanzania;TZA;2020;;;-0.713808;45.5197
Ouganda;UGA;2020;;;-0.716182;45.4404
South Africa;ZAF;2020;;;0.697231;92.6414
Zambia;ZMB;2020;;;-0.43064;54.9761
Zimbabwe;ZWE;2020;;;-1.12148;31.9055
